title,description,pubDate,guid/_isPermaLink,guid/__text,link,creator,enclosure/_url,enclosure/_length,enclosure/_type,point
City Commission funds HRDC shelter for homeless youth,"Bozeman City Commissioners voted unanimously Monday night to provide $30,000 from the city’s affordable housing fund to help nonprofit HRDC operate a small shelter for homeless youth — but only after debating whether the social service is an appropriate use…","Mon, 14 Nov 2016 22:00:00 -0700",false,http://www.bozemandailychronicle.com/tncms/asset/editorial/2a4d9446-c988-5730-b205-68139c6c5061,https://www.bozemandailychronicle.com/news/city/city-commission-funds-hrdc-shelter-for-homeless-youth/article_2a4d9446-c988-5730-b205-68139c6c5061.html,By Eric Dietrich Chronicle Staff Writer,,,,
Lark expansion set to break ground Monday,"A 29-room, four-story expansion to the Lark Hotel is set to break ground Monday, backers said this week — though much of the building will actually be assembled offsite thanks to cutting-edge building materials.","Sun, 13 Nov 2016 05:00:00 -0700",false,http://www.bozemandailychronicle.com/tncms/asset/editorial/4c6ab5cb-5764-56d0-84f3-62d4db259e07,https://www.bozemandailychronicle.com/news/city/lark-expansion-set-to-break-ground-monday/article_4c6ab5cb-5764-56d0-84f3-62d4db259e07.html,By Eric Dietrich Chronicle Staff Writer,https://bloximages.chicago2.vip.townnews.com/bozemandailychronicle.com/content/tncms/assets/v3/editorial/0/26/026d4d3c-f0c6-531c-bf90-035682312959/582629e98e116.image.jpg?resize=300%2C200,318937,image/jpeg,45.678905 -111.039536
Plans afoot to refresh murals along downtown Bozeman blast sites,"More than seven years after a gas explosion leveled much of a Main Street block in downtown Bozeman, downtown boosters say it’s time for a new set of murals along walls screening a pair of still-vacant lots — and they’re…","Sat, 12 Nov 2016 00:00:00 -0700",false,http://www.bozemandailychronicle.com/tncms/asset/editorial/418a24a6-7247-574f-b5f2-fdcc8cbf0f9c,https://www.bozemandailychronicle.com/news/city/plans-afoot-to-refresh-murals-along-downtown-bozeman-blast-sites/article_418a24a6-7247-574f-b5f2-fdcc8cbf0f9c.html,By Eric Dietrich Chronicle Staff Writer,https://bloximages.chicago2.vip.townnews.com/bozemandailychronicle.com/content/tncms/assets/v3/editorial/0/5c/05c608cd-6edf-570a-b348-99d28271763f/5825fafe180e4.image.jpg?resize=300%2C158,411866,image/jpeg,45.679195 -111.020866
November warmth likely to continue through weekend in Bozeman area,"Bozeman’s stint of unusually warm November weather is likely to continue through the weekend, as a high-pressure ridge parked over the western U.S. keeps skies clear and pulls in warm air from the south, according to the National Weather Service.","Thu, 10 Nov 2016 22:00:00 -0700",false,http://www.bozemandailychronicle.com/tncms/asset/editorial/01309130-ed2b-5195-b26f-9ccf7f0d166b,https://www.bozemandailychronicle.com/news/environment/november-warmth-likely-to-continue-through-weekend-in-bozeman-area/article_01309130-ed2b-5195-b26f-9ccf7f0d166b.html,By Eric Dietrich Chronicle Staff Writer,https://bloximages.chicago2.vip.townnews.com/bozemandailychronicle.com/content/tncms/assets/v3/editorial/1/8b/18bbd37e-9ea9-55f0-8b8f-64dcc9de8cbd/58251d4fddf14.image.jpg?resize=300%2C200,689580,image/jpeg,
Design review board pans Black-Olive aesthetics as neighbors pack meeting,Neighbors hoping Bozeman’s development review process will put the brakes on developer Andy Holloran’s Black-Olive project got some welcome news at the meeting of the Bozeman’s Design Review Board Wednesday night as city planners and board members expressed concern with…,"Thu, 10 Nov 2016 05:00:00 -0700",false,http://www.bozemandailychronicle.com/tncms/asset/editorial/4103a289-61e7-5c14-9b22-fff01d981329,https://www.bozemandailychronicle.com/news/city/design-review-board-pans-black-olive-aesthetics-as-neighbors-pack/article_4103a289-61e7-5c14-9b22-fff01d981329.html,By Eric Dietrich Chronicle Staff Writer,https://bloximages.chicago2.vip.townnews.com/bozemandailychronicle.com/content/tncms/assets/v3/editorial/8/fa/8fa7dcf5-7630-5858-94c2-55f12bfc9dc2/5823dad27c420.image.jpg?resize=300%2C200,294950,image/jpeg,
"As voters reject law and justice center, officials return to the drawing board","With a $71.5 million law and justice campus rejected by both city and county voters in Tuesday’s election, local government leaders said Wednesday they’re heading back to the drawing board.","Wed, 09 Nov 2016 17:00:00 -0700",false,http://www.bozemandailychronicle.com/tncms/asset/editorial/2b671b84-9621-5a44-a9eb-e98e417cc298,https://www.bozemandailychronicle.com/news/politics/elections/2016/general/as-voters-reject-law-and-justice-center-officials-return-to/article_2b671b84-9621-5a44-a9eb-e98e417cc298.html,By Eric Dietrich and Troy Carter Chronicle Staff Writers,https://bloximages.chicago2.vip.townnews.com/bozemandailychronicle.com/content/tncms/assets/v3/editorial/9/46/94665738-bcdb-5d20-a650-61619df30166/5823b6740eb88.image.jpg?resize=300%2C200,285725,image/jpeg,
Voters leaning against law and justice center bond,Voters were against two measures to pay for a $71.5 million police and courts building as of early Wednesday morning.,"Wed, 09 Nov 2016 00:38:00 -0700",false,http://www.bozemandailychronicle.com/tncms/asset/editorial/6593ed22-c595-5baf-b295-d81d78d43e28,https://www.bozemandailychronicle.com/news/politics/elections/2016/general/voters-leaning-against-law-and-justice-center-bond/article_6593ed22-c595-5baf-b295-d81d78d43e28.html,By Eric Dietrich Chronicle Staff Writer,https://bloximages.chicago2.vip.townnews.com/bozemandailychronicle.com/content/tncms/assets/v3/editorial/3/ab/3abd3923-10ba-549a-bab4-184e72bfec6e/57f8184dc033f.image.jpg?resize=300%2C181,355348,image/jpeg,
City adopts master plan for $12M Story Mill park,"The $12.1 million Story Mill Community Park project underway off Story Mill Road in northeast Bozeman got a freshly adopted master plan Monday evening, endorsed with the unanimous, enthusiastic approval of the City Commission.","Mon, 07 Nov 2016 21:45:00 -0700",false,http://www.bozemandailychronicle.com/tncms/asset/editorial/5d74cd9c-1a8e-5897-a9be-260027c584b0,https://www.bozemandailychronicle.com/news/city/city-adopts-master-plan-for-m-story-mill-park/article_5d74cd9c-1a8e-5897-a9be-260027c584b0.html,By Eric Dietrich Chronicle Staff Writer,https://bloximages.chicago2.vip.townnews.com/bozemandailychronicle.com/content/tncms/assets/v3/editorial/5/f9/5f97ed45-1f24-5669-a940-42d9744c1812/582156ec2ad19.image.png?resize=300%2C205,226608,image/png,
Mayor says neighborhood groups are key to preserving small-town feel,"Bozeman Mayor Carson Taylor, speaking at a lunch-hour panel Friday at the Story Mansion, said boosting neighborhood associations can help Bozeman hold onto its charm even as it adds more residents.","Sun, 06 Nov 2016 05:00:00 -0700",false,http://www.bozemandailychronicle.com/tncms/asset/editorial/b983b50c-11ea-5c12-adc4-90c5b9886811,https://www.bozemandailychronicle.com/news/city/mayor-says-neighborhood-groups-are-key-to-preserving-small-town/article_b983b50c-11ea-5c12-adc4-90c5b9886811.html,By Eric Dietrich Chronicle Staff Writer,https://bloximages.chicago2.vip.townnews.com/bozemandailychronicle.com/content/tncms/assets/v3/editorial/8/f8/8f83d5d2-c43d-5af9-9cd2-be280f68fe04/581d1525ec080.image.png?resize=300%2C168,2965936,image/png,
Winco Foods abandons plans for Bozeman store,"Boise, Idaho-based WinCo Foods, which said in April it was eyeing a Bozeman location for a new store, has dropped those plans because of city design requirements, the company’s developer said this week.","Fri, 04 Nov 2016 05:00:00 -0600",false,http://www.bozemandailychronicle.com/tncms/asset/editorial/f9e090ad-9274-54b4-9bdd-c252104a71fc,https://www.bozemandailychronicle.com/news/economy/winco-foods-abandons-plans-for-bozeman-store/article_f9e090ad-9274-54b4-9bdd-c252104a71fc.html,By Eric Dietrich Chronicle Staff Writer,https://bloximages.chicago2.vip.townnews.com/bozemandailychronicle.com/content/tncms/assets/v3/editorial/6/c1/6c104942-d60c-5658-b113-a010472f49ef/581bc10e71d92.image.png?crop=1886%2C857%2C45%2C44&resize=300%2C136&order=crop%2Cresize,2969521,image/png,45.708786 -111.071022
